Image,NW Corner Lat,NW Corner Long,SE Corner Lat,SE Corner Long
1.jpg,42.90241111111111,-85.3123361111111,42.89562777777776,-85.30290277777777
2.jpg,43.02106944444444,-85.78165277777778,43.014325,-85.77214722222222
3.jpg,43.14564166666666,-85.69081944444444,43.138888888888806,85.68130555555555
4.jpg,43.09763055555556,-85.6897888888889,43.09087777777778,-85.68028333333334
5.jpg,43.13812222222222,-85.74686666666666,43.131375,-85.73734722222223
6.jpg,43.15206111111111,-85.72843888888869,43.145313888886806,-85.71891944444445
7.jpg,43.179608333333364,-85.71967222222223,43.17285893333333,-85.71015
8.jpg,43.09066388888889,-85.699,43.083913888888804,-85.68949444444445
9.jpg,42.83106666666667,-85.60020277777777,42.82430555555556,-85.59075
10.jpg,43.208511111111115,-85.58900883833333,43.201750000000004,-85.57949722222222
11.jpg,42.76717222222222,-85.78517222222222,42.76042777777778,-85.77570555555556
12.jpg,42.89555277777778,-85.31223333333332,42.88876944444444,-85.30279999999999
13.jpg,43.09447222222222,-85.31528055555555,43.08769166666667,-85.30581666666666
14.jpg,42.768505555555556,-85.67345555555556,42.76175277777778,-85.66400277777778
